                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.61707,                0.67589,                 1.0966,                 0.8251,                0.56383,                0.61094,                 0.3613,                  1.258,                0.97661,                  1.474,              0.0097575,              0.0097575,              0.0097575
                     51,                0.61999,                0.67796,                 1.0979,                 0.5878,                0.58514,                0.59505,                0.36236,                 1.2702,                 1.0084,                 1.4892,              0.0097525,              0.0097525,              0.0097525
                     52,                0.61893,                0.67493,                 1.0954,                 0.7593,                0.58314,                0.60285,                 0.3711,                 1.2507,                0.99459,                 1.4638,              0.0097476,              0.0097476,              0.0097476
                     53,                0.62182,                0.67559,                 1.0979,                0.60472,                0.58154,                0.59956,                0.36622,                 1.2498,                0.99157,                 1.4631,              0.0097426,              0.0097426,              0.0097426
                     54,                0.62357,                 0.6821,                 1.0992,                0.77771,                0.55018,                0.58744,                0.36338,                 1.2378,                 0.9765,                 1.4681,              0.0097377,              0.0097377,              0.0097377
                     55,                0.62625,                0.67458,                 1.0986,                0.75975,                 0.5916,                0.59803,                0.36705,                 1.2484,                 1.0167,                 1.4829,              0.0097327,              0.0097327,              0.0097327
                     56,                0.62187,                0.67939,                 1.0994,                0.79859,                0.58068,                0.60502,                0.36616,                 1.2473,                 0.9918,                 1.4822,              0.0097278,              0.0097278,              0.0097278
                     57,                0.62279,                0.67892,                 1.0989,                0.57799,                0.59063,                0.61454,                0.37069,                 1.2434,                0.93306,                 1.4825,              0.0097228,              0.0097228,              0.0097228
                     58,                0.62159,                0.67305,                 1.0981,                0.82607,                0.53994,                0.60239,                0.36298,                 1.2314,                0.93864,                 1.4749,              0.0097179,              0.0097179,              0.0097179
                     59,                0.62215,                0.67487,                 1.0985,                0.77179,                0.58771,                0.58962,                0.35703,                 1.2325,                0.95256,                 1.4732,              0.0097129,              0.0097129,              0.0097129
                     60,                0.61993,                0.67671,                 1.0969,                0.76568,                0.60838,                0.60835,                0.37391,                 1.2123,                0.95857,                 1.4569,               0.009708,               0.009708,               0.009708
                     61,                0.61976,                0.67491,                  1.096,                0.56351,                0.58626,                0.60601,                 0.3787,                 1.2122,                0.93299,                 1.4577,               0.009703,               0.009703,               0.009703
                     62,                0.61785,                0.66953,                  1.094,                0.76123,                0.59722,                0.60742,                0.37766,                  1.222,                 0.9467,                 1.4655,               0.009698,               0.009698,               0.009698
                     63,                0.62606,                0.67936,                    1.1,                0.57792,                0.59893,                0.61373,                0.37929,                 1.2416,                0.93824,                 1.4714,              0.0096931,              0.0096931,              0.0096931
                     64,                0.62666,                0.68383,                 1.1039,                0.64539,                0.56753,                0.61787,                0.37993,                 1.2269,                0.95644,                 1.4524,              0.0096881,              0.0096881,              0.0096881
                     65,                0.63684,                 0.6963,                 1.1089,                0.56032,                0.62644,                0.63195,                0.37656,                 1.2258,                0.94195,                 1.4497,              0.0096832,              0.0096832,              0.0096832
                     66,                 0.6295,                0.69482,                  1.105,                0.60572,                0.60809,                0.62699,                0.38261,                 1.2249,                0.93358,                 1.4572,              0.0096783,              0.0096783,              0.0096783
                     67,                0.63274,                0.69692,                  1.106,                0.86628,                0.56345,                0.62877,                0.38207,                 1.2213,                0.92015,                 1.4506,              0.0096733,              0.0096733,              0.0096733
                     68,                0.62893,                0.69116,                 1.1068,                0.55302,                0.64127,                 0.6532,                0.38713,                 1.2175,                0.90781,                 1.4425,              0.0096684,              0.0096684,              0.0096684
                     69,                0.63259,                0.69565,                 1.1062,                0.86982,                0.57226,                0.66943,                0.39444,                  1.224,                0.91374,                 1.4496,              0.0096634,              0.0096634,              0.0096634
                     70,                0.62878,                0.69206,                 1.1079,                0.87386,                0.56838,                0.64435,                0.38493,                  1.219,                0.92198,                 1.4408,              0.0096585,              0.0096585,              0.0096585
                     71,                0.63343,                 0.6943,                 1.1079,                0.84251,                0.58908,                0.64062,                0.38642,                 1.2213,                 0.9235,                 1.4425,              0.0096535,              0.0096535,              0.0096535
                     72,                0.62685,                0.68877,                 1.1045,                0.63405,                0.59698,                0.64503,                0.38873,                 1.2215,                0.91763,                 1.4442,              0.0096486,              0.0096486,              0.0096486
                     73,                0.63041,                0.69049,                 1.1062,                0.64034,                0.59462,                0.64196,                0.38434,                 1.2168,                 0.9119,                 1.4403,              0.0096436,              0.0096436,              0.0096436
